date,drug_name,price,pharmacy_id,region,temperature,season,promotion
2023-01-01,ENGERIX-B (PEDIATRIQUE),80.0,pharma_7,Marrakech,15.7,winter,0
2023-01-01,COMBANTRIN,21.4,pharma_4,Fes,15.7,winter,0
2023-01-01,TIMOPTOL LP,108.0,pharma_14,Tanger,15.7,winter,1
2023-01-01,CELESTENE,31.5,pharma_7,Marrakech,15.7,winter,1
2023-01-01,CELLUVISC,44.4,pharma_4,Fes,15.7,winter,0
2023-01-01,ZOLAM,72.0,pharma_13,Marrakech,15.7,winter,0
2023-01-01,GONAL-F450,1738.3,pharma_10,Casablanca,15.7,winter,0
2023-01-01,OESTRODOSE,86.0,pharma_14,Tanger,15.7,winter,0
2023-01-01,CUROSURF 120 MG,4499.0,pharma_16,Rabat,15.7,winter,0
2023-01-01,BUTOVENT,45.3,pharma_7,Marrakech,15.7,winter,0
2023-01-01,GLUCOR,49.7,pharma_4,Fes,15.7,winter,1
2023-01-01,ARANESP 150 µG,0.0,pharma_3,Rabat,15.7,winter,1
2023-01-01,BROCLAR,31.0,pharma_3,Rabat,15.7,winter,1
2023-01-01,AGIDERM,28.0,pharma_19,Casablanca,15.7,winter,0
2023-01-01,KLIACEF,92.8,pharma_6,Casablanca,15.7,winter,0
2023-01-01,FLONOX,43.2,pharma_14,Tanger,15.7,winter,0
2023-01-01,MICARDIS,276.0,pharma_8,Marrakech,15.7,winter,1
2023-01-01,VIRAFERONPEG 80 µG,1692.0,pharma_10,Casablanca,15.7,winter,1
2023-01-01,"INNOHEP 10 000 UI ANTI-XA/0,5 ML",304.4,pharma_18,Rabat,15.7,winter,1
2023-01-01,APETINE,43.55,pharma_6,Casablanca,15.7,winter,0
2023-01-01,ESTRAPATCH 40 µG/24 HEURES,95.5,pharma_11,Rabat,15.7,winter,0
2023-01-01,CETAMYL,11.2,pharma_1,Casablanca,15.7,winter,0
2023-01-01,FONZYLANE,98.3,pharma_16,Rabat,15.7,winter,0
2023-01-01,VALDOXAN 25 MG,249.7,pharma_4,Fes,15.7,winter,0
2023-01-01,RIMEVAX,72.15,pharma_2,Casablanca,15.7,winter,1
2023-01-01,SIFROL 1.05 MG,592.0,pharma_20,Casablanca,15.7,winter,1
2023-01-01,MILLIGYNON,63.9,pharma_6,Casablanca,15.7,winter,1
2023-01-01,DISPAMOX,25.4,pharma_3,Rabat,15.7,winter,0
2023-01-01,RIFAMPICINE PHARMA,69.35,pharma_20,Casablanca,15.7,winter,0
2023-01-01,ACETATE SLF 437,172.0,pharma_11,Rabat,15.7,winter,0
2023-01-01,CIPRO LP 1 G,232.8,pharma_19,Casablanca,15.7,winter,1
2023-01-01,ALDYZINE,260.0,pharma_13,Marrakech,15.7,winter,0
2023-01-01,AZANTAC,64.2,pharma_8,Marrakech,15.7,winter,1
2023-01-01,MAZAX 500 MG,60.0,pharma_16,Rabat,15.7,winter,0
2023-01-01,FRAXODI,466.4,pharma_17,Rabat,15.7,winter,0
2023-01-01,NOVANTRONE,4948.7,pharma_6,Casablanca,15.7,winter,0
2023-01-01,NAPROSYNE,45.6,pharma_7,Marrakech,15.7,winter,1
2023-01-01,DOLIPRANE,9.7,pharma_13,Marrakech,15.7,winter,1
2023-01-01,LEVEMIR PENF,906.0,pharma_11,Rabat,15.7,winter,1
2023-01-01,MYCOSTER,45.2,pharma_4,Fes,15.7,winter,0
2023-01-01,SCANDICAINE 3 %,215.0,pharma_11,Rabat,15.7,winter,1
2023-01-01,LEUCODININE,18.0,pharma_4,Fes,15.7,winter,1
2023-01-01,ANALGYL,17.9,pharma_4,Fes,15.7,winter,1
2023-01-01,TETRA 500,25.2,pharma_11,Rabat,15.7,winter,1
2023-01-01,ERLUS 2.5MG/5ML,36.2,pharma_18,Rabat,15.7,winter,1
2023-01-01,INSPRA 25 MG,398.0,pharma_11,Rabat,15.7,winter,0
2023-01-01,DIUREX,68.8,pharma_11,Rabat,15.7,winter,1
2023-01-01,CAVERJECT,135.5,pharma_15,Casablanca,15.7,winter,0
2023-01-01,LANTUS OPTISET,759.0,pharma_4,Fes,15.7,winter,0
2023-01-01,ZADITEN,84.5,pharma_20,Casablanca,15.7,winter,0
2023-01-02,RAMIPRIL WIN,28.0,pharma_12,Marrakech,8.4,winter,0
2023-01-02,EQUORAL,544.0,pharma_10,Casablanca,8.4,winter,0
2023-01-02,CARDINOR,180.0,pharma_18,Rabat,8.4,winter,1
2023-01-02,EFITAC,41.0,pharma_20,Casablanca,8.4,winter,1
2023-01-02,LEVOPHTA,61.7,pharma_1,Casablanca,8.4,winter,1
2023-01-02,MEZOR 40 MG,69.8,pharma_18,Rabat,8.4,winter,0
2023-01-02,CUSICROM,36.7,pharma_1,Casablanca,8.4,winter,0
2023-01-02,DORMICUM,194.8,pharma_8,Marrakech,8.4,winter,1
2023-01-02,TRIMOX,21.5,pharma_16,Rabat,8.4,winter,0
2023-01-02,CLAVULIN,79.9,pharma_5,Rabat,8.4,winter,0
2023-01-02,CLAMOXYL,30.1,pharma_2,Casablanca,8.4,winter,1
2023-01-02,CROMEDIL 2 POUR CENT,51.0,pharma_20,Casablanca,8.4,winter,0
2023-01-02,DEBRIDAT,37.8,pharma_12,Marrakech,8.4,winter,1
2023-01-02,BUSCOPAN,21.6,pharma_12,Marrakech,8.4,winter,1
2023-01-02,DEFLAZACORTE GT 30 MG,174.4,pharma_15,Casablanca,8.4,winter,1
2023-01-02,DIGOXINE NATIVELLE,22.6,pharma_13,Marrakech,8.4,winter,1
2023-01-02,AUREOMYCINE 1%,5.5,pharma_6,Casablanca,8.4,winter,1
2023-01-02,CLARADOL PLUS,17.25,pharma_14,Tanger,8.4,winter,0
2023-01-02,ZORAC,150.0,pharma_2,Casablanca,8.4,winter,0
2023-01-02,VIVAMYNE MULTI,37.0,pharma_7,Marrakech,8.4,winter,1
2023-01-02,HIBOR 5000 UI ANTI XA,0.0,pharma_6,Casablanca,8.4,winter,1
