date;drug_name;price;pharmacy_id;region;temperature;season
2023-01-01;AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;38.0;pharma_15;Rabat;13.9;winter
2023-01-01;CAPOZIDE;226.8;pharma_11;Casablanca;13.9;winter
2023-01-01;KEFOTAX;87.6;pharma_3;Rabat;13.9;winter
2023-01-01;STATOR 20 MG;170.0;pharma_15;Rabat;13.9;winter
2023-01-01;AMBROLYS 30MG/5ML;33.0;pharma_5;Casablanca;13.9;winter
2023-01-01;TILCOTIL;59.9;pharma_13;Fes;13.9;winter
2023-01-01;PENAMOX;65.0;pharma_11;Casablanca;13.9;winter
2023-01-01;MYTELASE;21.7;pharma_13;Fes;13.9;winter
2023-01-01;TRIELLA;17.9;pharma_16;Marrakech;13.9;winter
2023-01-01;CELESTENE;35.6;pharma_1;Casablanca;13.9;winter
2023-01-01;MYK;64.5;pharma_11;Casablanca;13.9;winter
2023-01-01;BIOTONE;74.9;pharma_19;Casablanca;13.9;winter
2023-01-01;AVANDAMET;58.1;pharma_15;Rabat;13.9;winter
2023-01-01;NITROGLICERINE PH&T 25MG/5ML;1611.0;pharma_4;Tanger;13.9;winter
2023-01-01;AVELOX;500.0;pharma_5;Casablanca;13.9;winter
2023-01-01;ASTAPH;9.2;pharma_3;Rabat;13.9;winter
2023-01-01;CHLORURE DE SODIUM LAPROPHAN;107.7;pharma_9;Fes;13.9;winter
2023-01-01;ZITHROMAX;256.0;pharma_2;Marrakech;13.9;winter
2023-01-01;ASPEGIC AD;30.8;pharma_2;Marrakech;13.9;winter
2023-01-01;INFERON;395.0;pharma_6;Fes;13.9;winter
2023-01-01;STALEVO 150/37.5/200 MG;421.3;pharma_12;Marrakech;13.9;winter
2023-01-01;AMCARD;50.0;pharma_9;Fes;13.9;winter
2023-01-01;CICLOVIRAL;672.0;pharma_12;Marrakech;13.9;winter
2023-01-01;QUINOLOX MONOPRISE;39.0;pharma_5;Casablanca;13.9;winter
2023-01-01;INSULINE MIXTARD 30 HM PENFILL;73.0;pharma_11;Casablanca;13.9;winter
2023-01-01;ANTINAL;15.8;pharma_12;Marrakech;13.9;winter
2023-01-01;ZIDOVIR;90.7;pharma_20;Marrakech;13.9;winter
2023-01-01;SEREVENT;298.4;pharma_18;Rabat;13.9;winter
2023-01-01;GEPRID;216.0;pharma_14;Fes;13.9;winter
2023-01-01;TEGUMA;70.0;pharma_2;Marrakech;13.9;winter
2023-01-01;FLUSTAPH;39.8;pharma_15;Rabat;13.9;winter
2023-01-01;NORMACOL LAVEMENT AD;26.5;pharma_1;Casablanca;13.9;winter
2023-01-01;OKA-PACLITAXEL;527.0;pharma_2;Marrakech;13.9;winter
2023-01-01;LIFONGID;59.0;pharma_9;Fes;13.9;winter
2023-01-01;CETAXON;28.6;pharma_11;Casablanca;13.9;winter
2023-01-01;INFANRIX HEXA;348.0;pharma_11;Casablanca;13.9;winter
2023-01-01;NOVOSEVEN 240 KUI *;27870.0;pharma_10;Rabat;13.9;winter
2023-01-01;REVOLADE 50MG;7348.0;pharma_8;Casablanca;13.9;winter
2023-01-01;PROCLOR;210.0;pharma_6;Fes;13.9;winter
2023-01-01;LIFONGID;59.0;pharma_10;Rabat;13.9;winter
2023-01-01;ONIFINE;132.0;pharma_16;Marrakech;13.9;winter
2023-01-01;CODOLIPRANE;22.2;pharma_12;Marrakech;13.9;winter
2023-01-01;ALFAMOX;45.0;pharma_19;Casablanca;13.9;winter
2023-01-01;SRILANE;27.2;pharma_5;Casablanca;13.9;winter
2023-01-01;SILDENAFIL WIN 100 MG;82.5;pharma_12;Marrakech;13.9;winter
2023-01-01;ADO 1000MG;35.0;pharma_19;Casablanca;13.9;winter
2023-01-01;TRIBUTINE;45.9;pharma_11;Casablanca;13.9;winter
2023-01-01;TAZOCILLINE;256.0;pharma_6;Fes;13.9;winter
2023-01-01;LINCOCINE;88.3;pharma_20;Marrakech;13.9;winter
2023-01-01;ALDACTAZINE;39.3;pharma_13;Fes;13.9;winter
2023-01-02;LAROXYL;39.8;pharma_4;Tanger;11.5;winter
2023-01-02;AMCARD;25.0;pharma_3;Rabat;11.5;winter
2023-01-02;ALPHA KADOL POMMADE;22.65;pharma_5;Casablanca;11.5;winter
2023-01-02;ACNO 10 MG;152.0;pharma_2;Marrakech;11.5;winter
2023-01-02;NEOMOX;67.3;pharma_2;Marrakech;11.5;winter
2023-01-02;ACIDE DEXTROSE EM 80 DI;0.0;pharma_20;Marrakech;11.5;winter
2023-01-02;SOPROL;111.7;pharma_16;Marrakech;11.5;winter
2023-01-02;SODIUM CHLORURE PROMOPHARM;0.0;pharma_17;Casablanca;11.5;winter
2023-01-02;EXFORGE 10 MG/160 MG;361.0;pharma_7;Marrakech;11.5;winter
2023-01-02;AMLODIPINE GT;32.0;pharma_10;Rabat;11.5;winter
2023-01-02;SUPRIMASE DUO;49.9;pharma_15;Rabat;11.5;winter
2023-01-02;GLUCOR;125.0;pharma_8;Casablanca;11.5;winter
2023-01-02;NUPENTIN;275.7;pharma_8;Casablanca;11.5;winter
2023-01-02;ANTINAL;21.2;pharma_12;Marrakech;11.5;winter
2023-01-02;XENID;46.6;pharma_8;Casablanca;11.5;winter
2023-01-02;MELIX;32.5;pharma_1;Casablanca;11.5;winter
2023-01-02;OKA-PACLITAXEL;1271.0;pharma_8;Casablanca;11.5;winter
2023-01-02;NOVONORM;50.2;pharma_15;Rabat;11.5;winter
2023-01-02;DOPEZIL RANBAXY;329.6;pharma_15;Rabat;11.5;winter
2023-01-02;TARCEVA 150 MG;0.0;pharma_15;Rabat;11.5;winter
2023-01-02;BARACLUDE;5266.0;pharma_17;Casablanca;11.5;winter
2023-01-02;SUFENTA 50 µG / 10 ML;0.0;pharma_3;Rabat;11.5;winter
2023-01-02;MEZOR 20 MG;152.9;pharma_5;Casablanca;11.5;winter
2023-01-02;STAPHYPEN;13.1;pharma_6;Fes;11.5;winter
2023-01-02;ASPEGIC;18.0;pharma_10;Rabat;11.5;winter
2023-01-02;KLEAN PREP;143.9;pharma_12;Marrakech;11.5;winter
2023-01-02;KIDROLASE;4428.0;pharma_20;Marrakech;11.5;winter
2023-01-02;FLIXOTIDE DISKUS;145.0;pharma_6;Fes;11.5;winter
2023-01-02;BIGUAN 850;20.4;pharma_14;Fes;11.5;winter
2023-01-02;LANPROL;80.0;pharma_10;Rabat;11.5;winter
2023-01-02;CUSIMOLOL;34.9;pharma_19;Casablanca;11.5;winter
2023-01-02;VOLTARENE EMULGEL;57.0;pharma_5;Casablanca;11.5;winter
2023-01-02;DOLIPRANE;9.7;pharma_15;Rabat;11.5;winter
2023-01-02;UNASYN;42.0;pharma_16;Marrakech;11.5;winter
2023-01-02;PROGESTOGEL;23.2;pharma_10;Rabat;11.5;winter
2023-01-02;INDUCTAN;22.4;pharma_16;Marrakech;11.5;winter
2023-01-02;ALLERGINE;83.1;pharma_4;Tanger;11.5;winter
2023-01-02;BIOTIC PLUS;51.0;pharma_8;Casablanca;11.5;winter
2023-01-02;AUGMENTIN;70.6;pharma_2;Marrakech;11.5;winter
2023-01-02;CEBEMYXINE POMMADE;23.2;pharma_18;Rabat;11.5;winter
2023-01-02;TAXOTERE 80 MG/2 ML;3177.0;pharma_13;Fes;11.5;winter
2023-01-02;OMEGEN;38.0;pharma_4;Tanger;11.5;winter
2023-01-02;PURINETHOL;47.5;pharma_16;Marrakech;11.5;winter
2023-01-02;MYCOFLU;90.0;pharma_3;Rabat;11.5;winter
2023-01-02;BARACLUDE;5266.0;pharma_2;Marrakech;11.5;winter
2023-01-02;DIFAL 1 %;19.0;pharma_16;Marrakech;11.5;winter
2023-01-02;PROGOR;155.0;pharma_8;Casablanca;11.5;winter
2023-01-02;EMLA 5%;89.0;pharma_13;Fes;11.5;winter
2023-01-02;RAMIPRIL WIN;54.0;pharma_10;Rabat;11.5;winter
2023-01-02;AVOSTAV;445.0;pharma_9;Fes;11.5;winter
2023-01-03;SEDERGINE;16.4;pharma_16;Marrakech;14.1;winter
2023-01-03;GENTA;102.0;pharma_17;Casablanca;14.1;winter
2023-01-03;AZANTAC;85.8;pharma_14;Fes;14.1;winter
2023-01-03;FLUVIC ENFANT;16.3;pharma_15;Rabat;14.1;winter
2023-01-03;FONGICAN;51.0;pharma_10;Rabat;14.1;winter
2023-01-03;BUTAMYL;30.6;pharma_8;Casablanca;14.1;winter
2023-01-03;ATACAND;194.6;pharma_20;Marrakech;14.1;winter
2023-01-03;PROGAST;95.5;pharma_9;Fes;14.1;winter
2023-01-03;CYTEAL;29.0;pharma_19;Casablanca;14.1;winter
2023-01-03;REQUIP 2 MG;222.6;pharma_13;Fes;14.1;winter
2023-01-03;SOLUPRED;27.0;pharma_7;Marrakech;14.1;winter
2023-01-03;INEGY 10MG/10MG;271.6;pharma_3;Rabat;14.1;winter
2023-01-03;BECLOJET;133.4;pharma_15;Rabat;14.1;winter
2023-01-03;HIBOR 5000 UI ANTI XA;0.0;pharma_15;Rabat;14.1;winter
2023-01-03;ALFAPROXINE;65.0;pharma_17;Casablanca;14.1;winter
2023-01-03;MAXIPENE;22.5;pharma_11;Casablanca;14.1;winter
2023-01-03;MEGAFLOX IV;80.0;pharma_6;Fes;14.1;winter
2023-01-03;CRIZEPINE;56.0;pharma_10;Rabat;14.1;winter
2023-01-03;BERLOCID 960;23.1;pharma_10;Rabat;14.1;winter
2023-01-03;PRIMOLUT-NOR;64.6;pharma_19;Casablanca;14.1;winter
2023-01-03;TEMESTA;23.0;pharma_4;Tanger;14.1;winter
2023-01-03;ALGANTIL;16.7;pharma_19;Casablanca;14.1;winter
2023-01-03;IOPIDINE;184.0;pharma_10;Rabat;14.1;winter
2023-01-03;NIVAQUINE;12.0;pharma_15;Rabat;14.1;winter
2023-01-03;CARBOPLATINE MYLAN;3174.6;pharma_4;Tanger;14.1;winter
2023-01-03;SURMONTIL;49.5;pharma_11;Casablanca;14.1;winter
2023-01-03;BARALGIN M;17.2;pharma_7;Marrakech;14.1;winter
2023-01-03;QUINOLOX MONOPRISE;39.0;pharma_1;Casablanca;14.1;winter
2023-01-03;MONO-TILDIEM LP;181.4;pharma_16;Marrakech;14.1;winter
2023-01-03;CATAFLAM;27.85;pharma_1;Casablanca;14.1;winter
2023-01-03;CAPD/DPCA 2;376.0;pharma_7;Marrakech;14.1;winter
2023-01-03;AMOXIL;111.2;pharma_14;Fes;14.1;winter
2023-01-03;PHARMATEX;44.2;pharma_17;Casablanca;14.1;winter
2023-01-03;MONURIL ADULTE 3G;99.0;pharma_4;Tanger;14.1;winter
2023-01-03;XYLONOR SPRAY;200.0;pharma_13;Fes;14.1;winter
2023-01-03;DILATOR;41.2;pharma_7;Marrakech;14.1;winter
2023-01-03;AURICULARUM;79.0;pharma_1;Casablanca;14.1;winter
2023-01-03;SOPROL;111.7;pharma_1;Casablanca;14.1;winter
2023-01-03;FARMORUBICINE;495.0;pharma_10;Rabat;14.1;winter
2023-01-03;LOCERYL;430.9;pharma_7;Marrakech;14.1;winter
2023-01-03;ALFAPROXINE;36.0;pharma_16;Marrakech;14.1;winter
2023-01-03;GEOMYCINE;5.5;pharma_19;Casablanca;14.1;winter
2023-01-03;PAXIL CR 25 MG;320.0;pharma_2;Marrakech;14.1;winter
2023-01-03;SINGULAIR;306.0;pharma_13;Fes;14.1;winter
2023-01-03;NOVEX;66.0;pharma_9;Fes;14.1;winter
2023-01-03;ROXAM;23.0;pharma_2;Marrakech;14.1;winter
2023-01-03;OKA-DOCETAXEL;922.0;pharma_8;Casablanca;14.1;winter
2023-01-03;FARMORUBICINE;110.1;pharma_5;Casablanca;14.1;winter
2023-01-03;LEVOTHYROX;37.2;pharma_15;Rabat;14.1;winter
2023-01-03;TRIFAX;283.0;pharma_20;Marrakech;14.1;winter
2023-01-04;AMIKLIN;103.8;pharma_10;Rabat;10.2;winter
2023-01-04;GONAL-F 1050 UI;4055.8;pharma_14;Fes;10.2;winter
2023-01-04;TILCOTIL;44.0;pharma_16;Marrakech;10.2;winter
2023-01-04;NEOMOX;46.9;pharma_19;Casablanca;10.2;winter
2023-01-04;PAXIL CR 25 MG;107.0;pharma_19;Casablanca;10.2;winter
2023-01-04;JANUMET;437.0;pharma_11;Casablanca;10.2;winter
2023-01-04;GENTAL;20.9;pharma_11;Casablanca;10.2;winter
2023-01-04;OVITRELLE;214.7;pharma_4;Tanger;10.2;winter
2023-01-04;ZOLADEX 10.8 MG;3340.0;pharma_15;Rabat;10.2;winter
2023-01-04;S-CITAP 10 MG;271.6;pharma_1;Casablanca;10.2;winter
2023-01-04;KIDROLASE;4428.0;pharma_12;Marrakech;10.2;winter
2023-01-04;PERIANEST 0,5%;53.3;pharma_12;Marrakech;10.2;winter
2023-01-04;ANTARENE 20MG/ML;17.0;pharma_17;Casablanca;10.2;winter
2023-01-04;FUCITHALMIC;37.2;pharma_20;Marrakech;10.2;winter
2023-01-04;ACUPAXIL-30;430.0;pharma_12;Marrakech;10.2;winter
2023-01-04;VACCIN RABIQUE HDCV;273.2;pharma_19;Casablanca;10.2;winter
2023-01-04;POTASSIUM CHLORURE;0.0;pharma_19;Casablanca;10.2;winter
2023-01-04;LAROXYL;38.7;pharma_7;Marrakech;10.2;winter
2023-01-04;SANDIMMUN;0.0;pharma_2;Marrakech;10.2;winter
2023-01-04;BIGUAN 850;37.7;pharma_5;Casablanca;10.2;winter
2023-01-04;DOXICAN;77.5;pharma_16;Marrakech;10.2;winter
2023-01-04;AMOXIL;12.2;pharma_5;Casablanca;10.2;winter
2023-01-04;METRONIDAZOLE BIEFFE MEDITAL;25.75;pharma_1;Casablanca;10.2;winter
2023-01-04;ARACYTINE;232.0;pharma_20;Marrakech;10.2;winter
2023-01-04;LIPISTAT;130.0;pharma_18;Rabat;10.2;winter
2023-01-04;STAPHYMYCINE;83.0;pharma_4;Tanger;10.2;winter
2023-01-04;CHLORURE DE SODIUM LAPROPHAN;16.6;pharma_8;Casablanca;10.2;winter
2023-01-04;TRILEPTAL;394.0;pharma_1;Casablanca;10.2;winter
2023-01-04;TEGUMA;70.0;pharma_4;Tanger;10.2;winter
2023-01-04;NEURLEP 50 MG;24.0;pharma_20;Marrakech;10.2;winter
2023-01-04;DOPAMINE PIERRE FABRE;733.0;pharma_9;Fes;10.2;winter
2023-01-04;MAXIMAG;61.2;pharma_5;Casablanca;10.2;winter
2023-01-04;OMIZ 20 MG;81.4;pharma_20;Marrakech;10.2;winter
2023-01-04;DICYNONE;57.05;pharma_3;Rabat;10.2;winter
2023-01-04;TRIMAREL;71.3;pharma_7;Marrakech;10.2;winter
2023-01-04;BROMAX;29.0;pharma_7;Marrakech;10.2;winter
2023-01-04;ARACYTINE;232.0;pharma_4;Tanger;10.2;winter
2023-01-04;DRILL EXPECT. S. S.;25.5;pharma_13;Fes;10.2;winter
2023-01-04;ALFAPROXINE;120.0;pharma_16;Marrakech;10.2;winter
2023-01-04;TEGRETOL LP;95.9;pharma_13;Fes;10.2;winter
2023-01-04;HERPEVIR 5%;25.0;pharma_15;Rabat;10.2;winter
2023-01-04;GENTALLINE;27.1;pharma_4;Tanger;10.2;winter
2023-01-04;CINET;30.0;pharma_19;Casablanca;10.2;winter
2023-01-04;CHEMOSET;22.0;pharma_15;Rabat;10.2;winter
2023-01-04;TRITAZIDE 10MG / 12.5MG;234.0;pharma_18;Rabat;10.2;winter
2023-01-04;TIMOLOL-POS;54.0;pharma_14;Fes;10.2;winter
2023-01-04;EFITAC;76.0;pharma_1;Casablanca;10.2;winter
2023-01-04;DOBUTAMINE AGUETTANT 250MG/20ML;802.0;pharma_17;Casablanca;10.2;winter
2023-01-04;SK-F 12;72.0;pharma_13;Fes;10.2;winter
2023-01-04;ALDACTONE;110.8;pharma_17;Casablanca;10.2;winter
2023-01-05;FORTZAAR;261.0;pharma_15;Rabat;12.3;winter
2023-01-05;TWINRIX (ADULTE);490.0;pharma_7;Marrakech;12.3;winter
2023-01-05;BIGUAN 500;19.4;pharma_7;Marrakech;12.3;winter
2023-01-05;SPASMAG;52.9;pharma_14;Fes;12.3;winter
2023-01-05;FELDENE;56.9;pharma_4;Tanger;12.3;winter
