date;drug_name;price;pharmacy_id;region;temperature;season
01/01/2023;DOPEZIL RANBAXY;329.6;pharma_5;Tanger;16.3;winter
01/01/2023;CEFTAJECT I.V 1G/3.5ML;90.0;pharma_6;Marrakech;16.3;winter
01/01/2023;VINCRISTINE;0.0;pharma_12;Fes;16.3;winter
01/01/2023;POLYSILANE SANS SUCRE;47.35;pharma_6;Marrakech;16.3;winter
01/01/2023;CANESTEN;36.0;pharma_10;Marrakech;16.3;winter
01/01/2023;LYRICA;490.0;pharma_1;Casablanca;16.3;winter
01/01/2023;PLAVIX 300 MG;242.6;pharma_19;Fes;16.3;winter
01/01/2023;LEDERTREXATE;492.5;pharma_3;Marrakech;16.3;winter
01/01/2023;ALFACAR;81.45;pharma_12;Fes;16.3;winter
01/01/2023;TRIGYNON;21.4;pharma_18;Casablanca;16.3;winter
01/01/2023;LACIPIL;148.0;pharma_11;Marrakech;16.3;winter
01/01/2023;BECLOJET;133.4;pharma_15;Rabat;16.3;winter
01/01/2023;NOMADOL;42.1;pharma_10;Marrakech;16.3;winter
01/01/2023;LOFAT;112.0;pharma_18;Casablanca;16.3;winter
01/01/2023;FERPLEX 40 MG/15 ML;60.0;pharma_18;Casablanca;16.3;winter
01/01/2023;SMECTA;52.4;pharma_5;Tanger;16.3;winter
01/01/2023;CINABAC;40.0;pharma_13;Fes;16.3;winter
01/01/2023;SUPRIMASE DUO;49.9;pharma_8;Tanger;16.3;winter
01/01/2023;OXYGENOR;45.0;pharma_8;Tanger;16.3;winter
01/01/2023;MUCICLAR ADULTE;22.75;pharma_10;Marrakech;16.3;winter
01/01/2023;CANAFLUCAN;136.0;pharma_6;Marrakech;16.3;winter
01/01/2023;EXFORGE 10 MG/160 MG;190.6;pharma_3;Marrakech;16.3;winter
01/01/2023;OKA-DOCETAXEL;922.0;pharma_11;Marrakech;16.3;winter
01/01/2023;MEXINE 750 MG;135.0;pharma_18;Casablanca;16.3;winter
01/01/2023;ALFATIL;167.5;pharma_17;Fes;16.3;winter
